token_id,token_address,decimals
alchemix,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,18
alchemix-eth,0x0100546f2cd4c9d97f798ffc9755e47865ff7ee6,18
alchemix-usd,0xbc6da0fe9ad5f3b0d58160288917aa56653660e9,18
alchemy-pay,0xed04915c23f00a313a544955524eb7dbd823143d,8
alchemyai,0xb62d46a21fef0fadb5b92fc5ef7077e71e65631c,18
alea,0x24bff4fe25b5807bad49b2c08d79bb271766e68a,18
aleph,0x27702a26126e0b3702af63ee09ac4d1a084ef628,18
alephium,0x590f820444fa3638e022776752c5eef34e2f89a6,18
alert,0xae377ed00df9b9663b253be93035ef1cfecbc1fb,18
alethea-artificial-liquid-intelligence-token,0x6b0b3a982b4634ac68dd83a4dbf02311ce324181,18
alex,0x8ba6dcc667d3ff64c1a2123ce72ff5f0199e5315,4
alexgo,0xa831a4e181f25d3b35949e582ff27cc44e703f37,18
alfa-society,0x128ad1ad707c3b36e6f2ac9739f9df7516fdb592,18
alfweb3project,0xdf7a6a1214b3cbd3f9812434437f61a0d4cbbe1f,18
algory,0x16b0a1a87ae8af5c792fabc429c4fe248834842b,18
algovest,0x94d916873b22c9c1b53695f1c002f78537b9b3b2,18
algowave,0x29ffeffcd2154824c6e645afeacca4bd95c893d2,18
alice-ai,0x405154cfaf5ea4ef57b65b86959c73dd079fa312,18
alicenet,0xbb556b0ee2cbd89ed95ddea881477723a3aa8f8b,18
alien-chain,0x85705ec9f2e11b8a70607d93ffaf9d73ec84cc34,18
alien-inu,0xf42965f82f9e3171d1205c5e3058caf324a09432,9
alien-milady-fumo,0x2890df158d76e584877a1d17a85fea3aeeb85aa6,18
alien-worlds,0x888888848b652b3e3a0f34c96e00eec0f3a23f72,4
alienform,0xf92d62ed69242d655e685c96b98f32f1409c3262,9
alita-network,0x9c659cb48c4406cd2857aeceff1609b2db280d0e,18
alkemi-network-dao-token,0x6c16119b20fa52600230f074b349da3cb861a7e3,18
alkimi,0x3106a0a076bedae847652f42ef07fd58589e001f,18
all-coins-yield-capital,0xb56a1f3310578f23120182fb2e58c087efe6e147,18
all-in-coin,0x642b62daebd3b46b03208a5e590a9d87a88fbdac,18
all-in,0x9b2b931d6ab97b6a887b2c5d8529537e6fe73ebe,9
